Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site
97,,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,5 November 2020,23:24:23,CCAFS
98,,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5[,Success,16 November 2020,00:27,KSC
99,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,21 November 2020,17:17:08,VAFB
100,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,25 November 2020,02:13,CCAFS
101,,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,6 December 2020,16:17:08,KSC
102,,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00,CCSFS
103,,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00,KSC
104,,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5,Success,8 January 2021,02:15,CCSFS
105,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,Success,20 January 2021,13:02,KSC
106,,Transporter-1,"~5,000 kg",SSO,,"Success
",F9 B5B1058.5613,Success,24 January 2021,15:00,CCSFS
107,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,4 February 2021,06:19,CCSFS
108,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Failure,16 February 2021,03:59:37,CCSFS
109,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,4 March 2021,08:24,KSC
110,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,11 March 2021,08:13:29,CCSFS
111,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01,KSC
112,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6643,Success,24 March 2021,08:28,CCSFS
113,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,7 April 2021,16:34,CCSFS
114,,Crew-2,"~13,000 kg",LEO,NASA,"Success
",F9 B5B1061.2647,Success,23 April 2021,9:49,KSC
115,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7652,Success,29 April 2021,03:44,CCSFS
116,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9655,Success,4 May 2021,19:01,KSC
117,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.10657,Success,9 May 2021,06:42,CCSFS
118,,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1058.8660,Success,15 May 2021,22:56,KSC
119,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1063.2665,Success,26 May 2021,18:59,CCSFS
120,,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",F9 B5B1067.1668,Success,3 June 2021,17:29,KSC
121,,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,6 June 2021,04:26,CCSFS
